City,Cruelty by Husband or his Relatives,,Importation of girls from foreign country,,Causing death by negligence,,Other IPC crimes,,Total Cognizable Crimes,
AGRA,230,13.2,0,0,169,9.7,1249,71.5,6537,374.4
AHMEDABAD,1448,22.8,0,0,242,3.8,12112,190.7,21347,336.1
ALLAHABAD,132,10.8,0,0,72,5.9,934,76.7,2788,229.1
AMRITSAR,105,8.9,0,0,82,6.9,520,43.9,1964,165.9
ASANSOL,240,19.3,0,0,195,15.7,1759,141.5,3897,313.5
AURANGABAD,120,10.1,0,0,185,15.6,846,71.2,3659,307.7
BENGALURU,524,6.2,0,0,170,2,7665,90.2,29297,344.7
BHOPAL,242,12.9,0,0,174,9.2,5889,312.7,11732,623
CHANDIGARH (CITY),66,6.4,0,0,3,0.3,987,96.2,3372,328.7
CHENNAI,237,2.7,0,0,1411,16.2,12131,139.5,19881,228.6
COIMBATORE,112,5.2,0,0,293,13.6,8546,397.3,10357,481.5
DELHI (CITY),1870,11.5,0,0,733,4.5,13235,81.1,47982,294.1
DHANBAD,26,2.2,0,0,0,0,863,72.2,1613,135
DURG-BHILAINAGAR,97,9.1,0,0,202,19,4205,395.2,6244,586.8
FARID AB AD,197,14,0,0,245,17.4,1428,101.6,5023,357.5
GHAZIABAD,221,9.4,0,0,193,8.2,1671,70.8,5254,222.7
GWALIOR,150,13.6,0,0,132,12,3363,305.2,7561,686.1
HYDERABAD,1339,17.3,0,0,503,6.5,2932,37.8,15992,206.4
INDORE,349,16.1,0,0,253,11.7,8751,403.8,16526,762.6
JABALPUR,146,11.5,0,0,121,9.5,3123,246.3,7212,568.8
JAIPUR,942,30.7,0,0,710,23.1,6140,199.8,18678,607.8
JAMSHEDPUR,79,5.9,0,0,4,0.3,980,73.3,3192,238.7
JODHPUR,301,26.4,0,0,284,25,997,87.6,4531,398.2
KANNUR,118,7.2,0,0,0,0,1483,90.3,2707,164.8
KANPUR,265,9.1,0,0,158,5.4,1656,56.7,4558,156.1
KOCHI,127,6,0,0,3,0.1,15071,711.6,17324,817.9
KOLKATA,865,6.1,9,0.1,507,3.6,10903,77.3,25370,179.8
KOLLAM,336,30.3,0,0,0,0,4545,409.5,7074,637.3
KOTA,428,42.8,0,0,110,11,1521,151.9,3972,396.8
KOZHIKODE,144,7.1,0,0,2,0.1,2271,111.8,4156,204.6
LUCKNOW,452,15.6,0,0,401,13.8,3602,124.2,9147,315.3
LUDHIANA,135,8.4,0,0,225,13.9,1022,63.3,3065,189.9
MADURAI,62,4.2,0,0,131,9,1639,112.1,3261,223.1
MALAPPURAM,117,6.9,0,0,1,0.1,1428,84,2091,123.1
MEERUT,288,20.2,0,0,161,11.3,1137,79.8,4404,309.1
MUMBAI,388,2.1,0,0,621,3.4,6423,34.9,30508,165.7
NAGPUR,166,6.6,0,0,297,11.9,2122,84.9,8277,331.3
NAS IK,147,9.4,0,0,184,11.8,1769,113.2,4390,280.9
PATNA,294,14.4,0,0,332,16.2,1762,86.1,10749,525.1
PUNE,215,4.3,0,0,523,10.4,2392,47.4,12308,243.7
RAIPUR,86,7.7,0,0,140,12.5,1944,173.1,5997,534
RAJKOT,264,19,0,0,139,10,1930,138.7,4319,310.5
RANCHI,46,4.1,0,0,193,17.1,783,69.5,3990,354
SRINAGAR,63,4.9,0,0,60,4.7,1196,94,2614,205.3
SURAT,299,6.5,0,0,227,5,5412,118,9246,201.7
THIRUVANANTHAPURAM,159,9.4,0,0,2,0.1,4036,239.2,7253,429.9
THRISSUR,146,7.9,0,0,3,0.2,4417,238.1,6231,335.9
TIRUCHIRAPALLI,24,2.3,0,0,147,14.4,2012,196.9,2926,286.3
VADODARA,306,16.8,0,0,156,8.6,3355,184.6,6440,354.4
VARANASI,105,7.3,0,0,173,12.1,618,43.1,2282,159
VASAI VIRAR,26,2.1,0,0,209,17.1,168,13.8,2312,189.4
VIJAYAWADA,1136,76.2,0,0,370,24.8,1084,72.7,7686,515.5
VISHAKHAPATNAM,412,23.8,0,0,395,22.8,601,34.7,4626,267.4
