TABLE-1.8 (Concluded),,,,,,,,,,,
,,,,,,,,,,,
SI. No.,City,Cruelty by Husband and Relatives (Sec. 498A IPC) I R,,Importation of Gil ls (Sec. 366B IPC) I R,,Causing Death by Negligence (Sec. 304A IPC) I R,,Other IPC Crimes I R,,Total Cognizable Climes Under IPC I R,
(1),(2),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62)
CITIES:,,,,,,,,,,,
36,AGRA,285,21.6,0,0.0,216,16.4,1100,83.3,4802,363.5
37,AHMEDABAD,1230,27.2,0,0.0,203,4.5,11184,247.5,21442,474.5
38,ALLAHABAD,64,6.1,0,0.0,307,29.2,157,15.0,1973,187.9
39,AMRITSAR,87,8.6,0,0.0,70,6.9,615,60.8,1833,181.3
40,ASANSOL,310,28.4,0,0.0,109,10.0,720,66.0,1841,168.7
41,BENGALURU,398,7.0,0,0.0,104,1.8,10333,181.7,32188,566.0
42,BHOPAL,191,13.1,1,0.1,219,15.1,6090,418.6,11974,823.0
43,CHENNAI,125,1.9,0,0.0,604,9.4,6247,97.2,10869,169.2
44,COIMBATORE,45,3.1,0,0.0,324,22.4,1861,128.7,4180,289.1
45,DELHI (CITY),1273,10.0,0,0.0,868,6.8,12165,95.1,45994,359.6
46,DHANBAD,11,1.0,0,0.0,1,0.1,152,14.3,1006,94.5
47,FARIDABAD,224,21.2,0,0.0,224,21.2,1317,124.8,4920,466.4
48,HYDERABAD,1420,25.7,0,0.0,542,9.8,2879,52.0,17549,317.1
49,INDORE,259,15.8,2,0.1,220,13.4,5698,347.7,14230,868.2
50,JABALPUR,118,10.6,1,0.1,97,8.7,3604,322.6,6205,555.5
51,JAIPUR,720,31.0,0,0.0,499,21.5,4906,211.1,16717,719.3
52,JAMSHEDPUR,22,2.0,0,0.0,100,9.1,714,64.8,2732,247.9
53,KANPUR,447,16.6,0,0.0,571,21.2,2002,74.4,6747,250.8
54,KOCHI,146,10.8,0,0.0,3,0.2,24227,1788.0,25715,1897.8
55,KOLKATA,400,3.0,3,0.0,362,2.7,6880,52.1,15510,117.3
56,LUCKNOW,605,26.7,0,0.0,375,16.5,4202,185.4,10316,455.1
57,LUDHIANA,109,7.8,0,0.0,200,14.3,1059,75.9,3522,252.5
58,MADURAI,69,5.8,0,0.0,120,10.0,1386,116.0,2672,223.6
59,MEERUT,215,18.4,0,0.0,204,17.5,620,53.1,3307,283.4
60,MUMBAI,312,1.9,0,0.0,690,4.2,7093,43.3,33932,207.3
61,NAGPUR,175,8.2,0,0.0,332,15.6,2780,130.9,7728,364.0
62,NASIK,124,10.8,0,0.0,217,18.8,693,60.2,4484,389.2
63,PATNA,197,11.5,0,0.0,228,13.4,5032,294.8,9017,528.2
64,PUNE,214,5.7,0,0.0,620,16.5,3358,89.4,13602,362.1
65,RAJKOT,294,29.3,0,0.0,117,11.7,1594,159.1,4024,401.6
66,SURAT,268,9.5,0,0.0,364,12.9,3624,128.9,7426,264.2
67,VADODARA,216,14.5,0,0.0,180,12.1,2448,164.1,5352,358.7
68,VARANASI,50,4.1,0,0.0,177,14.6,664,54.8,2129,175.7
69,VIJAYAWADA,626,61.9,0,0.0,363,35.9,607,60.0,5833,577.0
70,VISHAKHAPATNAM,393,29.6,0,0.0,466,35.1,1516,114.1,7112,535.1
,TOTAL (CITIES),11642,10.8,7,0.0,10296,9.5,139527,129.3,368883,341.9
,,,,,,,,,,,
219,,,,,,,,,,,
