TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. City,,Hurt,,Dowry Deaths,Molestation,Sexual Harassment,,,
No.,,"(Sec.323-333,335-338 IPC)",,(Sec.304B IPC),(Sec.354 IPC),(Sec.509 IPC),,,
,,I,R,I R,I R,I R,,,
_Ci)_,_(2)_,_(4Q_,(111_,07)_(48)_,_(49)_(50)_,_(51)_(52)_,,,
,,,,,,,,,
CITIES: 36 AGRA,,344,19.7,56,3.2,190,10.9,0,0.0
37,AHMEDABAD,1427,22.5,19,0.3,83,1.3,16,0.3
38,ALLAHABAD,220,18.1,10,0.8,11,0.9,1,0.1
39,AMRITSAR,154,13.0,4,0.3,7,0.6,1,0.1
40,ASANSOL,173,13.9,10,0.8,30,2.4,7,0.6
41,AURANGABAD,470,39.5,7,0.6,65,5.5,29,2.4
42,BENGALURU,2927,34.4,53,0.6,250,2.9,40,0.5
43,BHOPAL,655,34.8,14,0.7,93,4.9,16,0.8
44,CHANDIGARH(C),43,4.2,2,0.2,16,1.6,11,1.1
45,CHENNAI,1466,16.9,20,0.2,73,0.8,121,1.4
46,COIMBATORE,398,18.5,2,0.1,32,1.5,5,0.2
47,DELHI (CITY),1684,10.3,115,0.7,556,3.4,149,0.9
48,DHANBAD,92,7.7,8,0.7,9,0.8,0,0.0
49,DURG-BHILAINAGAR,179,16.8,0,0.0,147,13.8,35,3.3
50,FARID AB AD,213,15.2,10,0.7,31,2.2,59,4.2
51,GHAZIABAD,10,0.4,22,0.9,35,1.5,47,2.0
52,GWALIOR,706,64.1,22,2.0,97,00 00,13,1.2
53,HYDERABAD,3334,43.0,37,0.5,157,2.0,93,1.2
54,INDORE,2286,105.5,21,1.0,229,10.6,49,2.3
55,JABALPUR,2327,183.5,26,2.1,171,13.5,27,2.1
56,JAIPUR,749,24.4,39,1.3,125,4.1,0,0.0
57,JAMSHEDPUR,480,35.9,12,0.9,18,1.3,0,0.0
58,JODHPUR,641,56.3,13,1.1,57,5.0,1,0.1
59,KANNUR,351,21.4,0,0.0,43,2.6,8,0.5
60,KANPUR,309,10.6,69,2.4,140,4.8,2,0.1
61,KOCHI,376,17.8,0,0.0,105,5.0,32,1.5
62,KOLKATA,2271,16.1,11,0.1,254,1.8,144,1.0
63,KOLLAM,1146,103.2,1,0.1,192,17.3,19,1.7
64,KOTA,144,14.4,5,0.5,58,5.8,0,0.0
65,KOZHIKODE,685,33.7,0,0.0,124,6.1,100,4.9
66,LUCKNOW,33,1.1,32,1.1,104,3.6,0,0.0
67,LUDHIANA,203,12.6,13,0.8,22,1.4,10,0.6
68,MADURAI,171,11.7,5,0.3,22,1.5,4,0.3
69,MALAPPURAM,179,10.5,0,0.0,37,2.2,2,0.1
70,MEERUT,12,0.8,18,1.3,47,3.3,0,0.0
71,MUMBAI,4302,23.4,14,0.1,553,3.0,162,0.9
72,NAGPUR,876,35.1,4,0.2,68,2.7,53,2.1
73,NASIK,258,16.5,5,0.3,37,2.4,10,0.6
74,PATNA,425,20.8,45,2.2,1,0.0,1,0.0
75,PUNE,991,19.6,8,0.2,118,2.3,80,1.6
76,RAIPUR,1745,155.4,4,0.4,195,17.4,27,2.4
77,RAJKOT,360,25.9,0,0.0,17,1.2,3,0.2
78,RANCHI,327,29.0,11,1.0,5,0.4,0,0.0
79,SRINAGAR,9,0.7,0,0.0,171,13.4,70,5.5
80,SURAT,455,9.9,0,0.0,34,0.7,3,0.1
81,THIRUVANANTHAPURAM,982,58.2,0,0.0,241,14.3,46,2.7
82,THRISSUR,340,18.3,0,0.0,100,5.4,28,1.5
83,TIRUCHIRAPALLI,142,10.1,2,0.1,17,1.2,26,1.9
84,VADODARA,315,17.3,1,0.1,15,0.8,2,0.1
85,VARANASI,55,3.8,20,1.4,1,0.1,0,0.0
86,VASAI VIRAR,168,13.8,0,0.0,19,1.6,10,0.8
87,VIJAYAWADA,1842,123.5,17,1.1,248,16.6,355,23.8
88,VISHAKHAPATNAM,1308,75.6,12,0.7,31,1.8,50,2.9
,TOTAL (CITIES),41758,25.9,819,0.5,5501,3.4,1967,1.2
,,,,,,,,,
217,,,,,,,,,
